contract_id,rank,source,topic,score,text
EU_cda2cf0296cb4f96bced16867490184de1b14eb165ce7c812727969f4390edeb_1,1,NLP similarity red flag - copy-paste descriptions,copy paste,0.12048427307732341,"Near-identical contract descriptions across different buyers can indicate reused templates, centralized procurement, framework agreements, or potentially tailored specifications. High cosine similarity should be treated as an investigative cue rather than a fraud conclusion. Human review should compare contract titles, buyers, CPV category, publication dates, and description details."
EU_cda2cf0296cb4f96bced16867490184de1b14eb165ce7c812727969f4390edeb_1,2,Model evaluation guidance - imbalanced labels,evaluation,0.0,"Procurement risk labels are imbalanced and partly missing. Precision-recall AUC is more informative than accuracy because reviewers care about how many flagged cases are useful and how many suspicious cases are missed. Proxy labels are useful for modeling, but they should be discussed as noisy indicators."
EU_cda2cf0296cb4f96bced16867490184de1b14eb165ce7c812727969f4390edeb_1,3,Unsupervised anomaly detection guidance,anomaly detection,0.0,"Embedding-space anomalies are contracts whose language or metadata differ from the broader corpus. Isolation Forest flags unusual records without using fraud labels, so its results should be used to prioritize review rather than to classify misconduct. Stronger concern arises when anomaly flags overlap with interpretable procurement indicators."
EU_99c5773943b6cf3376d500aa5239226b2f019d7f89dbe3e95df79a0e2a6c479e_1,1,Model evaluation guidance - imbalanced labels,evaluation,0.0,"Procurement risk labels are imbalanced and partly missing. Precision-recall AUC is more informative than accuracy because reviewers care about how many flagged cases are useful and how many suspicious cases are missed. Proxy labels are useful for modeling, but they should be discussed as noisy indicators."
EU_99c5773943b6cf3376d500aa5239226b2f019d7f89dbe3e95df79a0e2a6c479e_1,2,Academic prototype disclaimer,responsible use,0.0,"This system is an academic decision-support prototype. A suspicious label, model score, similarity score, or anomaly flag is not evidence of fraud, collusion, or illegal behavior. Outputs should be framed as risk indicators requiring human review and additional source documentation."
EU_99c5773943b6cf3376d500aa5239226b2f019d7f89dbe3e95df79a0e2a6c479e_1,3,Unsupervised anomaly detection guidance,anomaly detection,0.0,"Embedding-space anomalies are contracts whose language or metadata differ from the broader corpus. Isolation Forest flags unusual records without using fraud labels, so its results should be used to prioritize review rather than to classify misconduct. Stronger concern arises when anomaly flags overlap with interpretable procurement indicators."
EU_ce67ea32c6df49def5d768b19470e8b7404e410018bfbaf9fe4061fdd37abc77_1,1,Academic prototype disclaimer,responsible use,0.14013943765124978,"This system is an academic decision-support prototype. A suspicious label, model score, similarity score, or anomaly flag is not evidence of fraud, collusion, or illegal behavior. Outputs should be framed as risk indicators requiring human review and additional source documentation."
EU_ce67ea32c6df49def5d768b19470e8b7404e410018bfbaf9fe4061fdd37abc77_1,2,Model evaluation guidance - imbalanced labels,evaluation,0.0,"Procurement risk labels are imbalanced and partly missing. Precision-recall AUC is more informative than accuracy because reviewers care about how many flagged cases are useful and how many suspicious cases are missed. Proxy labels are useful for modeling, but they should be discussed as noisy indicators."
EU_ce67ea32c6df49def5d768b19470e8b7404e410018bfbaf9fe4061fdd37abc77_1,3,Unsupervised anomaly detection guidance,anomaly detection,0.0,"Embedding-space anomalies are contracts whose language or metadata differ from the broader corpus. Isolation Forest flags unusual records without using fraud labels, so its results should be used to prioritize review rather than to classify misconduct. Stronger concern arises when anomaly flags overlap with interpretable procurement indicators."
EU_906e4bc16191be50d813e9b01802e0e801039208c31e457f7bf4d5fdebaabb79_1,1,Model evaluation guidance - imbalanced labels,evaluation,0.0,"Procurement risk labels are imbalanced and partly missing. Precision-recall AUC is more informative than accuracy because reviewers care about how many flagged cases are useful and how many suspicious cases are missed. Proxy labels are useful for modeling, but they should be discussed as noisy indicators."
EU_906e4bc16191be50d813e9b01802e0e801039208c31e457f7bf4d5fdebaabb79_1,2,Academic prototype disclaimer,responsible use,0.0,"This system is an academic decision-support prototype. A suspicious label, model score, similarity score, or anomaly flag is not evidence of fraud, collusion, or illegal behavior. Outputs should be framed as risk indicators requiring human review and additional source documentation."
EU_906e4bc16191be50d813e9b01802e0e801039208c31e457f7bf4d5fdebaabb79_1,3,Unsupervised anomaly detection guidance,anomaly detection,0.0,"Embedding-space anomalies are contracts whose language or metadata differ from the broader corpus. Isolation Forest flags unusual records without using fraud labels, so its results should be used to prioritize review rather than to classify misconduct. Stronger concern arises when anomaly flags overlap with interpretable procurement indicators."
EU_c884ccae090d684088aceec23d149d354ef6355f4b693277bb619b754aae6e40_1,1,Model evaluation guidance - imbalanced labels,evaluation,0.0,"Procurement risk labels are imbalanced and partly missing. Precision-recall AUC is more informative than accuracy because reviewers care about how many flagged cases are useful and how many suspicious cases are missed. Proxy labels are useful for modeling, but they should be discussed as noisy indicators."
EU_c884ccae090d684088aceec23d149d354ef6355f4b693277bb619b754aae6e40_1,2,Academic prototype disclaimer,responsible use,0.0,"This system is an academic decision-support prototype. A suspicious label, model score, similarity score, or anomaly flag is not evidence of fraud, collusion, or illegal behavior. Outputs should be framed as risk indicators requiring human review and additional source documentation."
EU_c884ccae090d684088aceec23d149d354ef6355f4b693277bb619b754aae6e40_1,3,Unsupervised anomaly detection guidance,anomaly detection,0.0,"Embedding-space anomalies are contracts whose language or metadata differ from the broader corpus. Isolation Forest flags unusual records without using fraud labels, so its results should be used to prioritize review rather than to classify misconduct. Stronger concern arises when anomaly flags overlap with interpretable procurement indicators."
EU_7e059041879d5de16c824bac0399a2db1309aff2fdc8b5820b47b418ad8e20d0_1,1,Model evaluation guidance - imbalanced labels,evaluation,0.13628267872640143,"Procurement risk labels are imbalanced and partly missing. Precision-recall AUC is more informative than accuracy because reviewers care about how many flagged cases are useful and how many suspicious cases are missed. Proxy labels are useful for modeling, but they should be discussed as noisy indicators."
EU_7e059041879d5de16c824bac0399a2db1309aff2fdc8b5820b47b418ad8e20d0_1,2,Academic prototype disclaimer,responsible use,0.0,"This system is an academic decision-support prototype. A suspicious label, model score, similarity score, or anomaly flag is not evidence of fraud, collusion, or illegal behavior. Outputs should be framed as risk indicators requiring human review and additional source documentation."
EU_7e059041879d5de16c824bac0399a2db1309aff2fdc8b5820b47b418ad8e20d0_1,3,Unsupervised anomaly detection guidance,anomaly detection,0.0,"Embedding-space anomalies are contracts whose language or metadata differ from the broader corpus. Isolation Forest flags unusual records without using fraud labels, so its results should be used to prioritize review rather than to classify misconduct. Stronger concern arises when anomaly flags overlap with interpretable procurement indicators."
EU_2133945180df86a053c62cf9d26efe2f9c3ac72ae91e5413f10b22230ff8f923_1,1,EU procurement principle - competition,single bidding,0.1990266505381384,"Single-bid procedures are a common procurement red flag because they may indicate weak competition, narrow specifications, limited market outreach, or a tender design that discouraged alternative bidders. A single-bid flag is not proof of misconduct, but it should prompt review of the procedure type, publication quality, deadlines, contract specificity, and buyer history."
EU_2133945180df86a053c62cf9d26efe2f9c3ac72ae91e5413f10b22230ff8f923_1,2,EU procurement principle - equal treatment,short tender period,0.11221023543151162,"A short advertisement or tender period can reduce effective competition because suppliers have less time to prepare bids. Reviewers should check whether the deadline was proportionate to contract complexity, whether urgency was justified, and whether the short period coincides with other red flags such as single bidding or repeated awards."
EU_2133945180df86a053c62cf9d26efe2f9c3ac72ae91e5413f10b22230ff8f923_1,3,Model evaluation guidance - imbalanced labels,evaluation,0.0,"Procurement risk labels are imbalanced and partly missing. Precision-recall AUC is more informative than accuracy because reviewers care about how many flagged cases are useful and how many suspicious cases are missed. Proxy labels are useful for modeling, but they should be discussed as noisy indicators."
EU_90a02313d1336c1e32da7161fad02bc8c39f8a18b5a264a8a15a7354e436b46d_1,1,Model evaluation guidance - imbalanced labels,evaluation,0.0,"Procurement risk labels are imbalanced and partly missing. Precision-recall AUC is more informative than accuracy because reviewers care about how many flagged cases are useful and how many suspicious cases are missed. Proxy labels are useful for modeling, but they should be discussed as noisy indicators."
EU_90a02313d1336c1e32da7161fad02bc8c39f8a18b5a264a8a15a7354e436b46d_1,2,Academic prototype disclaimer,responsible use,0.0,"This system is an academic decision-support prototype. A suspicious label, model score, similarity score, or anomaly flag is not evidence of fraud, collusion, or illegal behavior. Outputs should be framed as risk indicators requiring human review and additional source documentation."
